Traffic Report ID,Published Date,Issue Reported,Location,Latitude,Longitude,Address,Status,Status Date
30B601F0CBE127B082649FE6FCD93FA86C798107_1647904875,03/21/2022 11:21:15 PM +0000,Crash Urgent,"(30.369805,-97.716986)",30.369805,-97.716986,9024 Northgate Blvd,ARCHIVED,03/21/2022 11:40:03 PM +0000
8B05AF0EF2EAC32530836BCEBD512F38E0BEAE64_1647898359,03/21/2022 09:32:39 PM +0000,Crash Urgent,"(30.404864,-97.652489)",30.404864,-97.652489,1000-1010 Briargate Dr,ARCHIVED,03/21/2022 11:55:02 PM +0000
E0F05ED4FD4FFB1AF17B55948173BFE2900CEFB4_1647899003,03/21/2022 09:43:23 PM +0000,Crash Service,"(30.190729,-97.734172)",30.190729,-97.734172,5300-5305 GEORGE ST,ARCHIVED,03/21/2022 11:55:02 PM +0000
2E2F7B99FBABB51EC37D8F54B164F309B2A6FC36_1647898489,03/21/2022 09:34:49 PM +0000,Crash Service,"(30.318091,-97.698761)",30.318091,-97.698761,6014 Cameron Rd,ARCHIVED,03/22/2022 12:10:03 AM +0000
6896DDC64EF4051E872B1E3B3B37D25E74F3C335_1647899795,03/21/2022 09:56:35 PM +0000,Crash Urgent,"(30.196894,-97.705352)",30.196894,-97.705352,4125 Felter Ln,ARCHIVED,03/22/2022 12:25:03 AM +0000
910272EF0D3D2747FBCF8BBF223ACF5CB45A4B35_1647903277,03/21/2022 10:54:37 PM +0000,COLLISION,"(30.408766,-98.107147)",30.408766,-98.107147,W Sh 71 & S Paleface Ranch Rd,ARCHIVED,03/22/2022 12:35:03 AM +0000
4B7AF5BD2D1026517F203F379E660FE2337A3E33_1647907153,03/21/2022 11:59:13 PM +0000,Crash Urgent,"(30.282682,-97.727857)",30.282682,-97.727857,2100-2134 N Ih 35 Svrd Sb,ARCHIVED,03/22/2022 01:35:02 AM +0000
E2FE2412EE50468A9D4867976FF86FD792AE55EE_1647907637,03/22/2022 12:07:17 AM +0000,COLLISION,"(30.31802,-97.623253)",30.31802,-97.623253,8600-8810 BRAXTON ROBERT RD,ARCHIVED,03/22/2022 12:25:03 AM +0000
AA0E9F704B12A27AF259750F79B22F99EFDB68C5_1647905571,03/21/2022 11:32:51 PM +0000,Crash Urgent,"(30.405249,-97.663949)",30.405249,-97.663949,E Parmer Ln & Mc Callen Pass,ARCHIVED,03/22/2022 01:00:03 AM +0000
93E35532E8C27DA7267D6A073DA0D909DA11A4ED_1647904801,03/21/2022 11:20:01 PM +0000,Crash Urgent,"(30.339406,-97.717842)",30.339406,-97.717842,W St Johns Ave & N Lamar Blvd,ARCHIVED,03/22/2022 12:20:04 AM +0000
A72C84FF134C9898E4E2CEAEF93DC24DA61D0E30_1647908319,03/22/2022 12:18:39 AM +0000,COLLISION,"(30.353355,-97.594573)",30.353355,-97.594573,8101 E PARMER LN,ARCHIVED,03/22/2022 01:10:03 AM +0000
A4888AB72FD5F8F8E994EB064DE208FF5A8AB1C1_1647908872,03/22/2022 12:27:52 AM +0000,COLLISION,"(30.343894,-97.593082)",30.343894,-97.593082,11700-11924 N SH 130 SB,ARCHIVED,03/22/2022 01:20:03 AM +0000
88BC6A0EFDFDA3DDD001177E6317A7D44ECC5D81_1647908922,03/22/2022 12:28:42 AM +0000,COLLISION WITH INJURY,"(30.349292,-97.538573)",30.349292,-97.538573,N FM 973 RD & E US 290 HWY EB,ARCHIVED,03/22/2022 01:25:02 AM +0000
D822D5E352F5656B3D88B24CD633DB40CB4A6F92_1647913366,03/22/2022 01:42:46 AM +0000,COLLISN/ LVNG SCN,"(30.389787,-97.882561)",30.389787,-97.882561,5145 N Fm 620 Rd,ARCHIVED,03/22/2022 02:05:03 AM +0000
042338D46C2028808F298DEC735DC7ADF0C162F6_1647909124,03/22/2022 12:32:04 AM +0000,Crash Service,"(30.233992,-97.871223)",30.233992,-97.871223,6700 Old Bee Caves Rd,ARCHIVED,03/22/2022 03:30:03 AM +0000
3FC863D5EBE3F2A780C3D0ACB17F37294D4FD0A2_1647912484,03/22/2022 01:28:04 AM +0000,Crash Service,"(30.366157,-97.718646)",30.366157,-97.718646,8770 Research Blvd Svrd Sb,ARCHIVED,03/22/2022 03:55:03 AM +0000
1BF6592ECF317C9CD6F92BAB901B7AC5DD6FA2AF_1647913698,03/22/2022 01:48:18 AM +0000,Crash Service,"(30.403591,-97.638453)",30.403591,-97.638453,Dessau Rd & E Howard Ln,ARCHIVED,03/22/2022 03:55:03 AM +0000
570722B44EC7003126D686B70703051E72FF7408_1647915977,03/22/2022 02:26:17 AM +0000,Crash Urgent,"(30.4574,-97.792373)",30.4574,-97.792373,13609-13749 N Us 183 Hwy Nb,ARCHIVED,03/22/2022 04:10:02 AM +0000
